PHỤ LỤC IV DANH MỤC SỐ TÍN CHỈ HỌC PHÍ CÁC CHƯƠNG TRÌNH ĐÀO TẠO (Kèm theo Quy định về việc miễn, giảm học phí, hỗ trợ chi phí học tập, hỗ trợ học tập cho sinh viên Đại học Bách khoa Hà Nội ban hành kèm theo Quyết định số /QĐ- ĐHBK ngày / /2023 của Giám đốc Đại học Bách khoa Hà Nội) 
| TT | Ngành | Số TCHP/ Năm học | Nhóm ngành |
|----|-------|------------------|-------------|
| 1  | Công nghệ giáo dục | 53 | I |
| 2  | Quản trị kinh doanh | 53 | III |
| 3  | Quản trị kinh doanh (VUW BA) | 50 | |
| 4  | CTTT Phân tích kinh doanh (ngành Quản trị kinh doanh) | 69 | |
| 5  | Tài chính - Ngân hàng | 53 | |
| 6  | Kế toán | 54 | |
| 7  | Hệ thống thông tin quản lý | 53 | |
| 8  | Kỹ thuật sinh học | 57 | IV |
| 9  | Hoá học | 56 | |
| 10 | Quản lý công nghiệp | 53 | V |
| 11 | Quản lý công nghiệp (CTĐT chuẩn từ năm 2022) | 54 | |
| 12 | CTTT Logistic và Quản lý chuỗi cung ứng (ngành Quản lý công nghiệp) | 63 | |
| 13 | Quản lý công nghiệp (CTĐT hợp tác với ĐH Northampton - EM-NU) | 49 | |
| 14 | Kinh tế công nghiệp | 53 | |
| 15 | Kỹ thuật hoá học | 58 | |
| 16 | Kỹ thuật hoá học (CTĐT tài năng) | 58 | |
| 17 | CTTT (Kỹ thuật) Hóa dược | 69 | |
| 18 | Kỹ thuật In | 58 | |
| 19 | Kỹ thuật dệt | 54 | |
| 20 | Công nghệ dệt, may | 58 | |
| 21 | Công nghệ da giầy | 58 | |
| 22 | Toán tin | 53 | |
| 23 | Toán tin (CTĐT tài năng) | 53 | |
| 24 | Công nghệ thông tin | 55 | |
| 25 | Công nghệ thông tin (Cử nhân công nghệ) | 55 | |
| 26 | CNTT Việt Pháp (ngành CNTT) | 62 | |
| 27 | CNTT ICT (ngành CNTT) | 69 | |
| 28 | CNTT Việt Nhật (ngành CNTT) | 68 | |
| 29 | Công nghệ thông tin CTĐT hợp tác với ĐH La Trobe - LTU | 54 | |
