text,metadata,level
"Giám đốc Đại học: PGS.TS. Huỳnh Quyết Thắng
Email: thang.huynhquyet@hust.edu.vn 
Phó Giám đốc: PGS.TS. Nguyễn Phong Điền
Email: dien.nguyenphong@hust.edu.vn 
Phó Giám đốc: PGS.TS. Huỳnh Đăng Chính
Email: chinh.huynhdang@hust.edu.vn 
Phó Giám đốc: PGS.TS. Trần Ngọc Khiêm
Email: khiem.tranngoc@hust.edu.vn","{'source': 'Ban giám đốc Đại học.txt', 'id': '0'}",0
"Cụm văn bản này cung cấp thông tin liên hệ của các lãnh đạo cấp cao của Đại học Bách Khoa Hà Nội, bao gồm Giám đốc và ba Phó Giám đốc.  Cụ thể,  đó là tên, chức danh và địa chỉ email của PGS.TS. Huỳnh Quyết Thắng (Giám đốc), PGS.TS. Nguyễn Phong Điền, PGS.TS. Huỳnh Đăng Chính và PGS.TS. Trần Ngọc Khiêm (ba Phó Giám đốc).
","{'id': ['0'], 'source': ['Ban giám đốc Đại học.txt']}",1
"CHIẾN LƯỢC PHÁT TRIỂN
TÓM LƯỢC CHIẾN LƯỢC PHÁT TRIỂN ĐẠI HỌC BÁCH KHOA HÀ NỘI 
GIAI ĐOẠN 2017-2025
I. MỤC TIÊU 
Phát triển thành một đại học nghiên cứu đa lĩnh vực với nòng cốt là kỹ thuật và công nghệ, trong đó các đơn vị chuyên môn được tổ chức thành một số trường và khoa; viện và trung tâm nghiên cứu trực thuộc. 
Xây dựng hình mẫu thành công, phát triển bền vững của một đại học tự chủ toàn diện với mô hình quản trị tiên tiến, hệ thống tài chính vững mạnh, hạ tầng khuôn viên và cơ sở vật chất hiện đại ngang tầm khu vực.","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '0'}",0
"Xây dựng hình mẫu thành công, phát triển bền vững của một đại học tự chủ toàn diện với mô hình quản trị tiên tiến, hệ thống tài chính vững mạnh, hạ tầng khuôn viên và cơ sở vật chất hiện đại ngang tầm khu vực.
Xây dựng môi trường học thuật sáng tạo, cởi mở và quốc tế hóa; thu hút sinh viên ưu tú, học giả xuất sắc trong nước và quốc tế đến học tập, nghiên cứu và làm việc. 
Nâng chất lượng của tất cả các chương trình đào tạo đạt mức cao theo các tiêu chuẩn kiểm định khu vực hoặc quốc tế; đưa Trường lên nhóm đầu khu vực theo xếp hạng khả năng việc làm của người tốt nghiệp.","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '1'}",0
"Nâng chất lượng của tất cả các chương trình đào tạo đạt mức cao theo các tiêu chuẩn kiểm định khu vực hoặc quốc tế; đưa Trường lên nhóm đầu khu vực theo xếp hạng khả năng việc làm của người tốt nghiệp.
Hình thành một trung tâm sáng tạo công nghệ xuất sắc của khu vực, thu hút mạnh tài trợ và đầu tư của Nhà nước, tổ chức, doanh nghiệp trong và ngoài nước; đưa Trường lên nhóm đầu khu vực theo xếp hạng năng lực sáng tạo.  
II. ĐỊNH HƯỚNG PHÁT TRIỂN","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '2'}",0
"II. ĐỊNH HƯỚNG PHÁT TRIỂN
Đổi mới quản trị đại học theo mô hình doanh nghiệp, thực hiện tự chủ đi đôi với trách nhiệm xã hội, coi người học là chủ thể, trung tâm của mọi hoạt động. Đào tạo và nghiên cứu trước hết phục vụ phát triển kinh tế-xã hội của đất nước, đồng thời tạo ra sản phẩm có khả năng cạnh tranh toàn cầu; tôn trọng cơ chế thị trường nhưng không phát triển theo hướng thương mại hóa. 
Phát triển theo định hướng hội nhập quốc tế, áp dụng những tiêu chuẩn chất lượng của khu vực và quốc tế, tiếp thu chọn lọc những mô hình và kinh nghiệm thành công của các trường đại học danh tiếng trên thế giới; chú trọng nâng cao năng lực thực chất đồng thời định hướng theo các tiêu chí xếp hạng quốc tế.","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '3'}",0
"Phát triển chú trọng chất lượng, không tăng tổng quy mô đào tạo; tập trung khai thác và phát huy những thế mạnh cốt lõi trong đào tạo chất lượng cao, đào tạo trình độ cao và nghiên cứu mũi nhọn, ưu tiên một số lĩnh vực khoa học và công nghệ có vai trò then chốt đối với nền kinh tế tri thức và cách mạng công nghiệp 4.0.
Phát triển chương trình đào tạo theo ngành rộng với các định hướng sau đại học theo lĩnh vực ứng dụng hoặc lĩnh vực nghiên cứu, trang bị kiến thức nền tảng vững chắc đồng thời chú trọng phát triển năng lực thực hành nghề nghiệp và khả năng thích ứng trong môi trường quốc tế. Đổi mới mạnh mẽ phương thức tổ chức đào tạo, ứng dụng những công nghệ giáo dục mới, thúc đẩy quá trình tự học qua nghiên cứu, sáng tạo và trải nghiệm.","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '4'}",0
"Phát triển hài hòa và gắn kết chặt chẽ giữa nghiên cứu cơ bản, nghiên cứu ứng dụng và nghiên cứu triển khai; gắn kết nghiên cứu với đào tạo, sáng tạo và khởi nghiệp, thúc đẩy chuyển giao tri thức và thương mại hóa sản phẩm; chú trọng đồng thời nâng cao thành tích và phát triển tiềm lực nghiên cứu.
III. NHIỆM VỤ
Cải tổ bộ máy tổ chức và xây dựng mô hình quản trị tiên tiến
Phát huy năng lực và nâng cao chất lượng đội ngũ cán bộ
Xây dựng hệ thống tài chính vững mạnh
Xây dựng hạ tầng khuôn viên và cơ sở vật chất hiện đại
Mở rộng đào tạo chất lượng cao theo định hướng quốc tế hóa","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '5'}",0
"Phát huy năng lực và nâng cao chất lượng đội ngũ cán bộ
Xây dựng hệ thống tài chính vững mạnh
Xây dựng hạ tầng khuôn viên và cơ sở vật chất hiện đại
Mở rộng đào tạo chất lượng cao theo định hướng quốc tế hóa
Tập trung phát triển một số lĩnh vực khoa học và công nghệ then chốt
Xây dựng và phát triển hệ sinh thái khởi nghiệp sáng tạo
Tăng cường hợp tác doanh nghiệp và hợp tác quốc tế
Tăng cường truyền thông và phát triển thương hiệu
Nâng cao chất lượng và hiệu quả các hoạt động hỗ trợ người học","{'source': 'Chiến lược phát triển đại học Bách khoa Hà Nội.txt', 'id': '6'}",0
"Tóm tắt Chiến lược Phát triển Đại học Bách Khoa Hà Nội giai đoạn 2017-2025:

Chiến lược này hướng tới mục tiêu biến Đại học Bách Khoa Hà Nội thành một đại học nghiên cứu đa lĩnh vực, trọng tâm là kỹ thuật và công nghệ, với cấu trúc tổ chức gồm các trường, khoa, viện và trung tâm nghiên cứu.  Chiến lược tập trung vào việc xây dựng một mô hình đại học tự chủ toàn diện, hiện đại, có hệ thống tài chính vững mạnh, cơ sở vật chất tiên tiến ngang tầm khu vực.  

**Mục tiêu chính:**

* Trở thành một đại học nghiên cứu hàng đầu khu vực, có chất lượng đào tạo đạt chuẩn quốc tế, tỷ lệ việc làm của sinh viên tốt nghiệp cao.
* Xây dựng môi trường học thuật quốc tế, thu hút sinh viên và giảng viên xuất sắc.
* Trở thành trung tâm sáng tạo công nghệ hàng đầu khu vực, thu hút đầu tư trong và ngoài nước.

**Định hướng phát triển:**

* Đổi mới quản trị theo mô hình doanh nghiệp, tự chủ và có trách nhiệm xã hội, lấy người học làm trung tâm.
* Hội nhập quốc tế, áp dụng tiêu chuẩn quốc tế, học hỏi kinh nghiệm quốc tế.
* Tập trung vào chất lượng đào tạo, không tăng quy mô, ưu tiên đào tạo chất lượng cao, nghiên cứu mũi nhọn trong các lĩnh vực then chốt của cách mạng công nghiệp 4.0.
* Phát triển chương trình đào tạo đa ngành, chú trọng thực hành và khả năng thích ứng.
* Gắn kết nghiên cứu cơ bản, ứng dụng và triển khai; kết hợp nghiên cứu với đào tạo, khởi nghiệp và chuyển giao công nghệ.

**Nhiệm vụ chính:**

* Cải tổ bộ máy, xây dựng mô hình quản trị hiện đại.
* Nâng cao chất lượng đội ngũ cán bộ.
* Xây dựng hệ thống tài chính vững mạnh.
* Xây dựng cơ sở vật chất hiện đại.
* Mở rộng đào tạo chất lượng cao theo hướng quốc tế.
* Phát triển các lĩnh vực khoa học công nghệ then chốt.
* Xây dựng hệ sinh thái khởi nghiệp.
* Tăng cường hợp tác quốc tế và doanh nghiệp.
* Nâng cao chất lượng hoạt động hỗ trợ sinh viên.
","{'id': ['0', '1', '2', '3', '4', '5', '6'], 'source': ['Chiến lược phát triển đại học Bách khoa Hà Nội.txt']}",1
